Informe,Cardex Detallado
Fecha Inicio,01/01/24
Fecha Fin,17/01/25
Periodo anterior,12/24
Cia. Doc.,Proyecto,Nombre Proyecto,3er.Producto,2do.Producto,Nombre Producto,Tipo Orden,Nro. Orden,Categ. LM,Nro. Batch,Fecha Movi,Fecha Contable,Percha,Tipo Movi,No Mov.,Existencia Inicial,Cant. Movi,Unidad,Precio Unitario,Costo Movi,Exist Final,Saldo Inicial,Saldo Final
01477,    1477BG03,BG GRAL SEPTICLEAN BOG BY VEOL,CO4610006,CO4610006,CASCO;SEGURIDAD;TIPO;II-EBARBUQUEJO;3PUNTOS,,,D033,12253417,04/03/24,01/03/24,,II,24000001,"6,00","4,00",UN,"66497,2000",265989,"10,00",394348,660337
01477,    1477BG03,BG GRAL SEPTICLEAN BOG BY VEOL,CO4110194,CO4110194,SOLUCION;STD;CONDUCTIVIDAD;1413µS/CM;MILILITROS,,,D004,12253417,04/03/24,01/03/24,,II,24000001,"1,00","1,00",ML,"95783,0000",95783,"2,00",95783,191566
01477,    1477BG03,BG GRAL SEPTICLEAN BOG BY VEOL,CO1210036,CO1210036,OXIDANTE;HIPOCLORITO;SODIO,,,D007,12253417,04/03/24,01/03/24,,II,24000001,"300,00","575,00",KG,"3022,6000",1737995,"875,00",906780,2644775
01477,    1477BG03,BG GRAL SEPTICLEAN BOG BY VEOL,CO4710216,CO4710216,LIMPIADOR;QUIMIC;DESINCRUSTANT,,,D035,12253417,04/03/24,01/03/24,,II,24000001,",00","20,00",LT,"9044,0000",180880,"20,00",-2,180878
01477,    1477BG03,BG GRAL SEPTICLEAN BOG BY VEOL,CO5510175,CO5510175,TALONARIO;VISITA,,,D035,12253417,04/03/24,01/03/24,,II,24000001,"18,00","48,00",UN,"15327,2000",735706,"66,00",275893,1011599
01477,    1477BG03,BG GRAL SEPTICLEAN BOG BY VEOL,CO4610159,CO4610159,GUANTE;CAUCHO;CALIBRE-35;LARGO,,,D033,12253417,04/03/24,01/03/24,,II,24000001,",00","32,00",PR,"23681,0000",757792,"32,00",0,757792
01477,    1477BG03,BG GRAL SEPTICLEAN BOG BY VEOL,CO4610363,CO4610363,CARTUCHO;RESPIRADOR;6006;3M,,,D033,12253417,04/03/24,01/03/24,,II,24000001,"6,00","4,00",UN,"74970,0000",299880,"10,00",328447,628327
01477,    1477BG03,BG GRAL SEPTICLEAN BOG BY VEOL,CO4610547,CO4610547,PETO;PVC;LARGO,,,D033,12253417,04/03/24,01/03/24,,II,24000001,"19,00","2,00",UN,"24007,7778",48016,"21,00",299407,347423
01477,    1477BG03,BG GRAL SEPTICLEAN BOG BY VEOL,CO4110595,CO4110595,SOLUCION;GALVANICA;ELECTROLITO;OXIGENO;DISUELTO;30ML;HANNA,,,D004,12253417,04/03/24,01/03/24,,II,24000001,"1,00","1,00",UN,"102328,0000",102328,"2,00",102328,204656
01477,    1477BG03,BG GRAL SEPTICLEAN BOG BY VEOL,CO4610074,CO4610074,LINEA;VIDA;VERTICAL,,,D033,12253417,04/03/24,01/03/24,,II,24000001,"3,00","3,00",UN,"442540,0000",1327620,"6,00",1327620,2655240
01477,    1477BG03,BG GRAL SEPTICLEAN BOG BY VEOL,5N11,CO4610375,FILTRO;MATERIAL;PARTICULADO5N11;3M,,,D033,12253417,04/03/24,01/03/24,,II,24000001,"26,00","12,00",UN,"8411,2231",100935,"38,00",208747,309682
01477,    1477BG03,BG GRAL SEPTICLEAN BOG BY VEOL,CO4610603,CO4610603,TRAJE;TYVEK;STEELPRO;7730STEELGEN,,,D033,12253417,04/03/24,01/03/24,,II,24000001,",00","8,00",UN,"17374,0000",138992,"8,00",0,138992
01477,    1477BG03,BG GRAL SEPTICLEAN BOG BY VEOL,CO4611042,CO4611042,BOTA;CUERO;T-40;CON-PUNTERA,,,D030,12253417,04/03/24,01/03/24,,II,24000001,"2,00","3,00",PR,"74111,1755",222334,"5,00",176120,398454
